Email_Text,Label
Robotics Club invites you to their AI workshop.,Clubs
"I'm free after 5 PM, want to hang out?",Personal
The Debate Club is hosting an open house.,Clubs
Im bringing snacks to our movie night. You in?,Personal
Watch free movies online with this one trick!,Spam
Register for the dance competition hosted by Cultural Club.,Clubs
Did you finish the homework?,Personal
Submit your project report by Friday.,Academic
Let's grab lunch together tomorrow.,Personal
Sign up for the coding sprint hosted by Hack Club.,Clubs
That meme you sent was hilarious! ,Personal
Semester results will be announced on Monday.,Academic
Happy Birthday! Hope you have an amazing day!,Personal
Act fast! Limited-time deal on new gadgets.,Spam
Semester results will be announced on Monday.,Academic
"I'm free after 5 PM, want to hang out?",Personal
Can we talk after class?,Personal
Exclusive deal: Get an iPhone for just $1!,Spam
Are you joining the group study session tonight?,Personal
Submit your project report by Friday.,Academic
"I'm free after 5 PM, want to hang out?",Personal
Sign up for the coding sprint hosted by Hack Club.,Clubs
The exam venue has been shifted to Block B.,Academic
"Congratulations, you qualify for a free vacation.",Spam
Register for the dance competition hosted by Cultural Club.,Clubs
Student council is organizing a fresher's party.,Clubs
"I'm free after 5 PM, want to hang out?",Personal
Final chance! Your reward is about to expire.,Spam
Professor Sharma has uploaded new reading material.,Academic
Coding Club is conducting a hackathon next month.,Clubs
Drama club auditions will be held on Friday.,Clubs
Join the online session on thesis guidelines.,Academic
Can you share the notes from todays class?,Personal
Movie night at my place tonight!,Personal
Student council is organizing a fresher's party.,Clubs
Lets meet at campus canteen for coffee.,Personal
Class is cancelled due to the professor's absence.,Academic
Music Club is planning a jam session this Friday.,Clubs
Join us for the IEEE tech symposium this weekend!,Clubs
Let's grab lunch together tomorrow.,Personal
Music club is hosting an open night mic,Clubs
Are you joining the group study session tonight?,Personal
Photography Club is hosting a photo walk this Sunday.,Clubs
Student council is organizing a fresher's party.,Clubs
The syllabus has been updated on the portal.,Academic
The Debate Club is hosting an open house.,Clubs
Coding Club is conducting a hackathon next month.,Clubs
Sports committee is organizing a football match.,Clubs
Semester results will be announced on Monday.,Academic
Can we meet up after class today?,Personal
Music club is hosting an open night mic,Clubs
Reminder: Your final exam is scheduled for Monday.,Academic
Your account is under threat. Verify immediately!,Spam
Movie night at my place tonight!,Personal
That meme you sent was hilarious! ,Personal
Lecture on Machine Learning is rescheduled to Wednesday.,Academic
You've won a lifetime supply of coffee!,Spam
The syllabus has been updated on the portal.,Academic
Drama club auditions will be held on Friday.,Clubs
The exam venue has been shifted to Block B.,Academic
Reminder: Your final exam is scheduled for Monday.,Academic
You won a $1000 gift card! Click here to claim.,Spam
Music Club is planning a jam session this Friday.,Clubs
Lecture on Machine Learning is rescheduled to Wednesday.,Academic
Sports committee is organizing a football match.,Clubs
Music club is hosting an open night mic,Clubs
Attendance below 75% will result in a warning.,Academic
Professor Sharma has uploaded new reading material.,Academic
Dance Club invites you to their annual performance.,Clubs
Call me when you're free.,Personal
Lab timings have been updated on the portal.,Academic
Limited time: Claim your free Netflix subscription.,Spam
Lab timings have been updated on the portal.,Academic
Act now and double your earnings overnight!,Spam
Class is cancelled due to the professor's absence.,Academic
Lets meet at campus canteen for coffee.,Personal
Photography Club is hosting a photo walk this Sunday.,Clubs
Dance Club invites you to their annual performance.,Clubs
Professor Sharma has uploaded new reading material.,Academic
Register for the dance competition hosted by Cultural Club.,Clubs
That movie was awesome last night!,Personal
New grades have been posted for Data Structures.,Academic
New grades have been posted for Data Structures.,Academic
That meme you sent was hilarious! ,Personal
Assignment 3 has been uploaded to the portal.,Academic
Music Club is planning a jam session this Friday.,Clubs
Final notice: Your reward is expiring today.,Spam
Dance Club invites you to their annual performance.,Clubs
Photography Club is hosting a photo walk this Sunday.,Clubs
Get free access to premium content now.,Spam
Attendance below 75% will result in a warning.,Academic
Reminder: Register for elective courses by Friday.,Academic
Good luck on your exam tomorrow!,Personal
